Date,Mkt-RF,SMB,HML,RMW,CMA,RF,WML
1/3/2011,0.68,-0.14,0.52,-0.49,0.17,0,-0.04
1/4/2011,0.05,-0.39,0.37,0.03,0.09,0,-0.2
1/5/2011,-0.3,0.1,0.14,-0.22,0.14,0,-0.15
1/6/2011,-0.24,-0.04,-0.02,-0.03,0.09,0,-0.22
1/7/2011,-0.3,0.04,-0.2,0.08,-0.04,0,0.36
1/10/2011,-0.21,0.43,-0.22,-0.05,-0.05,0,0.56
1/11/2011,0.63,0,0.23,-0.12,0.13,0,0.16
1/12/2011,1.33,-0.34,0.31,-0.49,0.2,0,-0.55
1/13/2011,0.43,0.09,0.18,0.19,0.12,0,-0.49
1/14/2011,0.27,-0.1,0.4,-0.37,0.2,0,-0.29
1/17/2011,-0.19,0.18,0.02,0.01,0.02,0,-0.05
1/18/2011,0.73,-0.25,-0.04,0.07,-0.05,0,0.01
1/19/2011,-0.56,0.09,-0.04,0.57,-0.23,0,-0.4
1/20/2011,-1,-0.53,0.62,0.12,0.22,0,-1.43
1/21/2011,0.42,-0.66,0.48,-0.04,0.32,0,-0.57
1/24/2011,0.57,-0.14,-0.12,0.07,0.22,0,-0.06
1/25/2011,0.03,0.14,0.05,0.17,0.19,0,0.12
1/26/2011,0.69,0.36,-0.24,-0.13,-0.1,0,1.1
1/27/2011,0.13,-0.25,0.34,-0.23,0.25,0,-0.03
1/28/2011,-1.37,0.26,0.1,0.03,-0.21,0,-0.07
1/31/2011,0.35,-0.2,-0.12,0.07,-0.06,0,0.16
2/1/2011,1.88,0.1,0.22,-0.18,-0.01,0,0.28
2/2/2011,0.13,0.06,-0.1,-0.16,-0.13,0,-0.11
2/3/2011,-0.22,0.05,-0.23,-0.06,-0.02,0,0.39
2/4/2011,0.15,0.02,-0.14,-0.09,0.14,0,-0.01
2/7/2011,0.56,0.2,0.26,-0.07,0.26,0,0.16
2/8/2011,0.36,-0.12,0.1,-0.13,0.07,0,-0.12
2/9/2011,-0.09,-0.05,-0.06,0.21,-0.01,0,-0.23
2/10/2011,-0.48,-0.14,-0.09,0,0.07,0,0.27
2/11/2011,0.24,0.02,0.13,-0.24,0.12,0,0.28
2/14/2011,0.4,0.23,-0.02,0.02,-0.06,0,0.67
