Ticker,Sector
A,Healthcare
AAL,Industrials
AAP,Consumer Cyclical
AAPL,Technology
ABBV,Healthcare
ABT,Healthcare
ACN,Technology
ADBE,Technology
ADI,Technology
ADM,Consumer Defensive
ADP,Technology
ADSK,Technology
ADT,Industrials
AEE,Utilities
AEP,Utilities
AES,Utilities
AET,Unknown
AFL,Financial Services
AIG,Financial Services
AIV,Real Estate
AIZ,Financial Services
AJG,Financial Services
AKAM,Technology
ALB,Basic Materials
ALGN,Healthcare
ALK,Industrials
ALL,Financial Services
ALLE,Industrials
ALTR,Technology
AMAT,Technology
AMCR,Consumer Cyclical
AMD,Technology
AME,Industrials
AMG,Financial Services
AMGN,Healthcare
AMP,Financial Services
AMT,Real Estate
AMZN,Consumer Cyclical
AN,Consumer Cyclical
ANDV,Unknown
ANET,Technology
ANF,Consumer Cyclical
ANSS,Technology
AON,Financial Services
AOS,Industrials
APA,Energy
APD,Basic Materials
APH,Technology
APTV,Consumer Cyclical
ARE,Real Estate
ATGE,Consumer Defensive
ATI,Industrials
ATO,Utilities
AVB,Real Estate
AVGO,Technology
AVY,Consumer Cyclical
AWK,Utilities
AXP,Financial Services
AYI,Industrials
AZO,Consumer Cyclical
BA,Industrials
BAC,Financial Services
BAX,Healthcare
BBY,Consumer Cyclical
BDX,Healthcare
BEAM,Healthcare
BEN,Financial Services
BHF,Financial Services
BIIB,Healthcare
BIO,Healthcare
BK,Financial Services
BKNG,Consumer Cyclical
BKR,Energy
BLK,Financial Services
BMS,Unknown
BMY,Healthcare
BR,Technology
BSX,Healthcare
BWA,Consumer Cyclical
BXP,Real Estate
C,Financial Services
CAG,Consumer Defensive
CAH,Healthcare
CARR,Industrials
CAT,Industrials
CB,Financial Services
CBOE,Financial Services
CBRE,Real Estate
CCEP,Consumer Defensive
CCI,Real Estate
CCL,Consumer Cyclical
CDNS,Technology
CDW,Technology
CE,Basic Materials
CF,Basic Materials
CFG,Financial Services
CHD,Consumer Defensive
CHRW,Industrials
CHTR,Communication Services
CI,Healthcare
CINF,Financial Services
CL,Consumer Defensive
CLF,Basic Materials
CLX,Consumer Defensive
CMA,Financial Services
CMCSA,Communication Services
CME,Financial Services
CMG,Consumer Cyclical
CMI,Industrials
CMS,Utilities
CNC,Healthcare
CNP,Utilities
CNX,Energy
COF,Financial Services
COL,Unknown
COO,Healthcare
COP,Energy
COST,Consumer Defensive
COTY,Consumer Defensive
CPB,Consumer Defensive
CPRI,Consumer Cyclical
CPRT,Industrials
CPWR,Utilities
CRM,Technology
CSCO,Technology
CSRA,Unknown
CSX,Industrials
CTAS,Industrials
CTLT,Healthcare
CTSH,Technology
CTVA,Basic Materials
CVS,Healthcare
CVX,Energy
D,Utilities
DAL,Industrials
DD,Basic Materials
DE,Industrials
DELL,Technology
DFS,Financial Services
DG,Consumer Defensive
DGX,Healthcare
DHI,Consumer Cyclical
DHR,Healthcare
DIS,Communication Services
DLR,Real Estate
DLTR,Consumer Defensive
DNB,Financial Services
DOV,Industrials
DOW,Basic Materials
DPZ,Consumer Cyclical
DRI,Consumer Cyclical
DTE,Utilities
DUK,Utilities
DVA,Healthcare
DVN,Energy
DXC,Technology
DXCM,Healthcare
EA,Communication Services
EBAY,Consumer Cyclical
ECL,Basic Materials
ED,Utilities
EFX,Industrials
EIX,Utilities
EL,Consumer Defensive
EMN,Basic Materials
EMR,Industrials
EOG,Energy
EP,Energy
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ES,Utilities
ESRX,Unknown
ESS,Real Estate
ETN,Industrials
ETR,Utilities
ETSY,Consumer Cyclical
EVHC,Unknown
EVRG,Utilities
EW,Healthcare
EXC,Utilities
EXPD,Industrials
EXPE,Consumer Cyclical
EXR,Real Estate
F,Consumer Cyclical
FANG,Energy
FAST,Industrials
FCPT,Real Estate
FCX,Basic Materials
FDX,Industrials
FE,Utilities
FFIV,Technology
FHN,Financial Services
FIS,Technology
FITB,Financial Services
FL,Consumer Cyclical
FLR,Industrials
FLS,Industrials
FMC,Basic Materials
FOSL,Consumer Cyclical
FOX,Communication Services
FOXA,Communication Services
FRT,Real Estate
FSLR,Technology
FTI,Energy
FTNT,Technology
FTV,Technology
GD,Industrials
GE,Industrials
GHC,Consumer Defensive
GILD,Healthcare
GIS,Consumer Defensive
GL,Financial Services
GLW,Technology
GM,Consumer Cyclical
GME,Consumer Cyclical
GNW,Financial Services
GOOG,Communication Services
GOOGL,Communication Services
GPC,Consumer Cyclical
GPN,Industrials
GRMN,Technology
GS,Financial Services
GT,Consumer Cyclical
GWW,Industrials
HAL,Energy
HAS,Consumer Cyclical
HBAN,Financial Services
HBI,Consumer Cyclical
HCA,Healthcare
HD,Consumer Cyclical
HES,Energy
HIG,Financial Services
HII,Industrials
HLT,Consumer Cyclical
HOG,Consumer Cyclical
HOLX,Healthcare
HON,Industrials
HOT,Unknown
HP,Energy
HPE,Technology
HPQ,Technology
HRB,Consumer Cyclical
HRL,Consumer Defensive
HSIC,Healthcare
HST,Real Estate
HSY,Consumer Defensive
HUM,Healthcare
HWM,Industrials
IBM,Technology
ICE,Financial Services
IDXX,Healthcare
IEX,Industrials
IFF,Basic Materials
IGT,Consumer Cyclical
ILMN,Healthcare
INCY,Healthcare
INTC,Technology
INTU,Technology
IP,Consumer Cyclical
IPG,Communication Services
IPGP,Technology
IQV,Healthcare
IR,Industrials
IRM,Real Estate
ISRG,Healthcare
IT,Technology
ITT,Industrials
ITW,Industrials
IVZ,Financial Services
J,Industrials
JBHT,Industrials
JBL,Technology
JCI,Industrials
JEF,Financial Services
JKHY,Technology
JNJ,Healthcare
JNPR,Technology
JPM,Financial Services
JWN,Consumer Cyclical
K,Consumer Defensive
KDP,Consumer Defensive
KEY,Financial Services
KEYS,Technology
KHC,Consumer Defensive
KIM,Real Estate
KLAC,Technology
KMB,Consumer Defensive
KMI,Energy
KMX,Consumer Cyclical
KO,Consumer Defensive
KR,Consumer Defensive
KSS,Consumer Cyclical
L,Financial Services
LDOS,Technology
LEG,Consumer Cyclical
LEN,Consumer Cyclical
LH,Healthcare
LHX,Industrials
LIN,Basic Materials
LKQ,Consumer Cyclical
LLY,Healthcare
LMT,Industrials
LNC,Financial Services
LNT,Utilities
LOW,Consumer Cyclical
LRCX,Technology
LUMN,Communication Services
LUV,Industrials
LVS,Consumer Cyclical
LW,Consumer Defensive
LYB,Basic Materials
LYV,Communication Services
M,Consumer Cyclical
MA,Financial Services
MAA,Real Estate
MAC,Real Estate
MAR,Consumer Cyclical
MAS,Industrials
MAT,Consumer Cyclical
MCD,Consumer Cyclical
MCHP,Technology
MCK,Healthcare
MCO,Financial Services
MDLZ,Consumer Defensive
MDT,Healthcare
MET,Financial Services
MGM,Consumer Cyclical
MHK,Consumer Cyclical
MHS,Unknown
MI,Consumer Cyclical
MKC,Consumer Defensive
MKTX,Financial Services
MLM,Basic Materials
MMC,Financial Services
MMI,Real Estate
MMM,Industrials
MNST,Consumer Defensive
MO,Consumer Defensive
MOS,Basic Materials
MPC,Energy
MRK,Healthcare
MRO,Energy
MS,Financial Services
MSCI,Financial Services
MSFT,Technology
MSI,Technology
MTB,Financial Services
MTD,Healthcare
MU,Technology
MUR,Energy
NAVI,Financial Services
NBR,Energy
NCLH,Consumer Cyclical
NDAQ,Financial Services
NEE,Utilities
NEM,Basic Materials
NFLX,Communication Services
NFX,Unknown
NI,Utilities
NKE,Consumer Cyclical
NKTR,Healthcare
NOC,Industrials
NOV,Energy
NOW,Technology
NRG,Utilities
NSC,Industrials
NSM,Unknown
NTAP,Technology
NTRS,Financial Services
NUE,Basic Materials
NVDA,Technology
NVR,Consumer Cyclical
NWL,Consumer Defensive
NWS,Communication Services
NWSA,Communication Services
O,Real Estate
ODFL,Industrials
OI,Consumer Cyclical
OKE,Energy
OMC,Communication Services
ORCL,Technology
ORLY,Consumer Cyclical
OTIS,Industrials
OXY,Energy
PAYC,Technology
PAYX,Technology
PBI,Industrials
PCAR,Industrials
PCG,Utilities
PDCO,Healthcare
PEG,Utilities
PEP,Consumer Defensive
PFE,Healthcare
PFG,Financial Services
PG,Consumer Defensive
PGR,Financial Services
PH,Industrials
PHM,Consumer Cyclical
PKG,Consumer Cyclical
PLD,Real Estate
PLL,Basic Materials
PM,Consumer Defensive
PNC,Financial Services
PNR,Industrials
PNW,Utilities
POOL,Industrials
PPG,Basic Materials
PPL,Utilities
PRGO,Healthcare
PRU,Financial Services
PSA,Real Estate
PSX,Energy
PVH,Consumer Cyclical
PWR,Industrials
PYPL,Financial Services
QCOM,Technology
QRVO,Technology
R,Industrials
RCL,Consumer Cyclical
REG,Real Estate
REGN,Healthcare
